Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2OsEJFTfzfjG4oC92cuP2c,"Slow Down","Stars Dance (Bonus Track Version)","Selena Gomez",2013-01-01,210293,67,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Hollywood Records",0.721,0.821,1,-3.856,0,0.165,0.073,0,0.631,0.721,127.944,4
spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,"Blank Space","1989 (Deluxe)","Taylor Swift",2014-01-01,231826,85,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Taylor Swift",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
spotify:track:4LRPiXqCikLlN15c3yImP7,"As It Was","As It Was","Harry Styles",2022-03-31,167303,12,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Columbia",0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
spotify:track:2qT1uLXPVPzGgFOx4jtEuo,"no tears left to cry","Sweetener","Ariana Grande",2018-08-17,205920,80,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"pop","Republic Records",0.699,0.713,9,-5.507,0,0.0594,0.04,0.00000311,0.294,0.354,121.993,4
spotify:track:0HqZX76SFLDz2aW8aiqi7G,"Bones","Bones","Imagine Dragons",2022-03-11,165264,76,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","KIDinaKORNER/Interscope Records",0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
spotify:track:4v7DgEMw6EvYyuQ4eWFD9l,"What If (I Told You I Like You)","What If (I Told You I Like You)","Johnny Orlando;kenzie",2018-05-18,219186,63,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Johnny Orlando and M, M&M, Inc",0.735,0.584,1,-5.047,1,0.14,0.189,0,0.125,0.395,93.016,4
spotify:track:2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi;Jubin Nautiyal;Asees Kaur",2021-07-30,230292,71,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"bollywood,hindi pop,desi,desi pop,gujarati garba,bhajan,devotional","Sony Music Entertainment India Pvt. Ltd.",0.72,0.63,10,-5.549,1,0.0413,0.615,0,0.108,0.512,81.009,4
spotify:track:29m79w9xPMH4YCD6r8JSmV,"Excuses","Excuses","AP Dhillon;Gurinder Gill;Intense",2020-07-24,176232,74,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"punjabi hip hop,punjabi pop,desi,bhangra,desi hip hop","RUN-UP RECORDS",0.837,0.717,5,-7.749,0,0.0822,0.0842,0,0.149,0.494,94.984,4
spotify:track:4gvrJnKCKIPiacNsWVQwEU,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix","love nwantiti (feat. Dj Yo! & AX'EL) [Remix]","CKay;Dj Yo!;AX'EL",2021-09-09,188368,74,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"afrobeats,afrobeat,afro r&b,afropop","WM South Africa",0.579,0.596,8,-4.823,1,0.0561,0.436,0.0938,0.0549,0.443,119.9,3
spotify:track:4mt7C6wYeTUWDDk7xKym9w,"Feel Me","Rare (Deluxe)","Selena Gomez",2020-04-09,226002,58,false,31d6qlakaopgb45appcbvby3loqa,2025-05-29T13:43:26Z,"","Interscope Records",0.71,0.808,2,-6.703,0,0.0433,0.44,0.000773,0.0734,0.387,99.989,4
